Energy (eV),DOS,Intg. DOS
-13.770058,0.0,0.0
-13.75342,0.0,0.0
-13.736781,0.0,0.0
-13.720143,0.0,0.0
-13.703504,0.0,0.0
-13.686865,0.0,0.0
-13.670227,0.0,0.0
-13.653588,0.0,0.0
-13.63695,0.0,0.0
-13.620311,0.0,0.0
-13.603673,0.0,0.0
-13.587034,0.0,0.0
-13.570396,0.0,0.0
-13.553757,0.0,0.0
-13.537118,0.0,0.0
-13.52048,0.0,0.0
-13.503841,0.0,0.0
-13.487203,0.0,0.0
-13.470564,0.0,0.0
-13.453926,0.0,0.0
-13.437287,0.0,0.0
-13.420649,0.0,0.0
-13.40401,0.0,0.0
-13.387371,0.0,0.0
-13.370733,0.0,0.0
-13.354094,0.0,0.0
-13.337456,0.0,0.0
-13.320817,0.0,0.0
-13.304179,0.0,0.0
-13.28754,0.0,0.0
-13.270902,0.0,0.0
-13.254263,0.0,0.0
-13.237624,0.0,0.0
-13.220986,0.0,0.0
-13.204347,0.0,0.0
-13.187709,0.0,0.0
-13.17107,0.0,0.0
-13.154432,0.0,0.0
-13.137793,0.0,0.0
-13.121155,0.0,0.0
-13.104516,0.0,0.0
-13.087877,0.0,0.0
-13.071239,0.0,0.0
-13.0546,0.0,0.0
-13.037962,0.0,0.0
-13.021323,0.0,0.0
-13.004685,0.0,0.0
-12.988046,0.0,0.0
-12.971408,0.0,0.0
-12.954769,0.0,0.0
-12.93813,0.0,0.0
-12.921492,0.0,0.0
-12.904853,0.0,0.0
-12.888215,0.0,0.0
-12.871576,0.0,0.0
-12.854938,0.0,0.0
-12.838299,0.0,0.0
-12.821661,0.0,0.0
-12.805022,0.0,0.0
-12.788383,0.0,0.0
-12.771745,0.0,0.0
-12.755106,0.0,0.0
-12.738468,0.0,0.0
-12.721829,0.0,0.0
-12.705191,0.0,0.0
-12.688552,0.0,0.0
-12.671914,0.0,0.0
-12.655275,0.0,0.0
-12.638636,0.0,0.0
-12.621998,0.0,0.0
-12.605359,0.0,0.0
-12.588721,0.0,0.0
-12.572082,0.0,0.0
-12.555444,0.0,0.0
-12.538805,0.0,0.0
-12.522167,0.0,0.0
-12.505528,0.0,0.0
-12.488889,0.0,0.0
-12.472251,0.0,0.0
-12.455612,0.0,0.0
-12.438974,0.0,0.0
-12.422335,0.0,0.0
-12.405697,0.0,0.0
-12.389058,0.0,0.0
-12.37242,0.0,0.0
-12.355781,0.0,0.0
-12.339142,0.0,0.0
-12.322504,0.0,0.0
