Energy (eV),COHP,Int. COHP
-12.238444,0.0,0.0
-12.219532,0.0,0.0
-12.20062,0.0,0.0
-12.181708,0.0,0.0
-12.162796,0.0,0.0
-12.143884,0.0,0.0
-12.124972,0.0,0.0
-12.10606,0.0,0.0
-12.087148,0.0,0.0
-12.068236,0.0,0.0
-12.049324,0.0,0.0
-12.030412,0.0,0.0
-12.0115,0.0,0.0
-11.992588,0.0,0.0
-11.973812,0.0,0.0
-11.954899,0.0,0.0
-11.935987,0.0,0.0
-11.917075,0.0,0.0
-11.898163,0.0,0.0
-11.879251,0.0,0.0
-11.860339,0.0,0.0
-11.841427,0.0,0.0
-11.822515,0.0,0.0
-11.803603,0.0,0.0
-11.784691,0.0,0.0
-11.765779,0.0,0.0
-11.746867,0.0,0.0
-11.727955,0.0,0.0
-11.709043,0.0,0.0
-11.690131,0.0,0.0
-11.671219,0.0,0.0
-11.652306,0.0,0.0
-11.633394,0.0,0.0
-11.614482,0.0,0.0
-11.59557,0.0,0.0
-11.576658,0.0,0.0
-11.557746,0.0,0.0
-11.538834,0.0,0.0
-11.519922,0.0,0.0
-11.50101,0.0,0.0
-11.482098,0.0,0.0
-11.463186,0.0,0.0
-11.444274,0.0,0.0
-11.425362,0.0,0.0
-11.406586,0.0,0.0
-11.387674,0.0,0.0
-11.368762,0.0,0.0
-11.34985,0.0,0.0
-11.330937,0.0,0.0
-11.312025,0.0,0.0
-11.293113,0.0,0.0
-11.274201,0.0,0.0
-11.255289,0.0,0.0
-11.236377,0.0,0.0
-11.217465,0.0,0.0
-11.198553,0.0,0.0
-11.179641,0.0,0.0
-11.160729,0.0,0.0
-11.141817,0.0,0.0
-11.122905,0.0,0.0
-11.103993,0.0,0.0
-11.085081,0.0,0.0
-11.066169,0.0,0.0
-11.047257,0.0,0.0
-11.028344,0.0,0.0
-11.009432,0.0,0.0
-10.99052,0.0,0.0
-10.971608,0.0,0.0
-10.952696,0.0,0.0
-10.933784,0.0,0.0
-10.914872,0.0,0.0
-10.89596,0.0,0.0
-10.877048,0.0,0.0
-10.858272,0.0,0.0
-10.83936,0.174067,0.001517
-10.820448,0.308133,0.006215
-10.801536,0.378528,0.012589
-10.782624,0.45022,0.020542
-10.763712,0.501447,0.029486
-10.7448,0.569697,0.039643
-10.725888,0.694535,0.051338
