Energy (eV),DOS,Intg. DOS
-13.595223,0.0,0.0
-13.578585,0.0,0.0
-13.561946,0.0,0.0
-13.545308,0.0,0.0
-13.528669,0.0,0.0
-13.512031,0.0,0.0
-13.495392,0.0,0.0
-13.478754,0.0,0.0
-13.462115,0.0,0.0
-13.445476,0.0,0.0
-13.428838,0.0,0.0
-13.412199,0.0,0.0
-13.395561,0.0,0.0
-13.378922,0.0,0.0
-13.362284,0.0,0.0
-13.345645,0.0,0.0
-13.329007,0.0,0.0
-13.312368,0.0,0.0
-13.295729,0.0,0.0
-13.279091,0.0,0.0
-13.262452,0.0,0.0
-13.245814,0.0,0.0
-13.229175,0.0,0.0
-13.212537,0.0,0.0
-13.195898,0.0,0.0
-13.17926,0.0,0.0
-13.162621,0.0,0.0
-13.145982,0.0,0.0
-13.129344,0.0,0.0
-13.112705,0.0,0.0
-13.096067,0.0,0.0
-13.079428,0.0,0.0
-13.06279,0.0,0.0
-13.046151,0.0,0.0
-13.029513,0.0,0.0
-13.012874,0.0,0.0
-12.996235,0.0,0.0
-12.979597,0.0,0.0
-12.962958,0.0,0.0
-12.94632,0.0,0.0
-12.929681,0.0,0.0
-12.913043,0.0,0.0
-12.896404,0.0,0.0
-12.879766,0.0,0.0
-12.863127,0.0,0.0
-12.846488,0.0,0.0
-12.82985,0.0,0.0
-12.813211,0.0,0.0
-12.796573,0.0,0.0
-12.779934,0.0,0.0
-12.763296,0.0,0.0
-12.746657,0.0,0.0
-12.730019,0.0,0.0
-12.71338,0.0,0.0
-12.696741,0.0,0.0
-12.680103,0.0,0.0
-12.663464,0.0,0.0
-12.646826,0.0,0.0
-12.630187,0.0,0.0
-12.613549,0.0,0.0
-12.59691,0.0,0.0
-12.580272,0.0,0.0
-12.563633,0.0,0.0
-12.546994,0.0,0.0
-12.530356,0.0,0.0
-12.513717,0.0,0.0
-12.497079,0.0,0.0
-12.48044,0.0,0.0
-12.463802,0.0,0.0
-12.447163,0.0,0.0
-12.430525,0.0,0.0
-12.413886,0.0,0.0
-12.397247,0.0,0.0
-12.380609,0.0,0.0
-12.36397,0.0,0.0
-12.347332,0.0,0.0
-12.330693,0.0,0.0
-12.314055,0.0,0.0
-12.297416,0.0,0.0
-12.280778,0.0,0.0
-12.264139,0.0,0.0
-12.2475,0.0,0.0
-12.230862,0.0,0.0
-12.214223,0.0,0.0
-12.197585,0.0,0.0
-12.180946,0.0,0.0
-12.164308,0.0,0.0
-12.147669,0.0,0.0
-12.131031,0.0,0.0
-12.114392,0.0,0.0
-12.097753,0.0,0.0
-12.081115,0.0,0.0
-12.064476,0.0,0.0
-12.047838,0.0,0.0
-12.031199,0.0,0.0
-12.014561,0.0,0.0
-11.997922,0.0,0.0
-11.981284,0.0,0.0
-11.964645,0.0,0.0
-11.948007,0.0,0.0
-11.931368,0.0,0.0
-11.914729,0.0,0.0
-11.898091,0.0,0.0
-11.881452,0.0,0.0
-11.864814,0.0,0.0
-11.848175,0.0,0.0
-11.831537,0.0,0.0
-11.814898,0.0,0.0
-11.79826,0.0,0.0
-11.781621,0.0,0.0
-11.764982,0.0,0.0
-11.748344,0.0,0.0
-11.731705,0.0,0.0
-11.715067,0.0,0.0
-11.698428,0.0,0.0
-11.68179,0.0,0.0
-11.665151,0.0,0.0
-11.648513,0.0,0.0
-11.631874,0.0,0.0
-11.615235,0.0,0.0
-11.598597,0.0,0.0
-11.581958,0.0,0.0
-11.56532,0.0,0.0
-11.548681,0.0,0.0
-11.532043,0.0,0.0
-11.515404,0.0,0.0
-11.498766,0.0,0.0
-11.482127,0.0,0.0
-11.465488,0.0,0.0
-11.44885,0.0,0.0
-11.432211,0.0,0.0
-11.415573,0.0,0.0
-11.398934,0.0,0.0
-11.382296,0.0,0.0
-11.365657,0.0,0.0
-11.349019,0.0,0.0
-11.33238,0.0,0.0
-11.315741,0.0,0.0
-11.299103,0.0,0.0
-11.282464,0.0,0.0
-11.265826,0.0,0.0
-11.249187,0.0,0.0
-11.232549,0.0,0.0
-11.21591,0.0,0.0
-11.199272,0.0,0.0
-11.182633,0.0,0.0
-11.165994,0.0,0.0
-11.149356,0.0,0.0
-11.132717,0.0,0.0
-11.116079,0.0,0.0
-11.09944,0.0,0.0
-11.082802,0.0,0.0
-11.066163,0.0,0.0
-11.049525,0.0,0.0
-11.032886,0.0,0.0
-11.016247,0.0,0.0
-10.999609,0.0,0.0
-10.98297,0.0,0.0
-10.966332,0.0,0.0
-10.949693,0.0,0.0
-10.933055,0.0,0.0
-10.916416,0.0,0.0
-10.899778,0.0,0.0
-10.883139,0.0,0.0
-10.8665,0.0,0.0
-10.849862,0.0,0.0
-10.833223,0.0,0.0
-10.816585,0.0,0.0
-10.799946,0.0,0.0
-10.783308,0.0,0.0
-10.766669,0.0,0.0
-10.750031,0.0,0.0
-10.733392,0.0,0.0
-10.716753,1.586264,0.004214
-10.700115,4.363097,0.059087
