Energy (eV),COHP,Int. COHP
-12.254213,0.0,0.0
-12.234621,0.0,0.0
-12.214893,0.0,0.0
-12.1953,0.0,0.0
-12.175572,0.0,0.0
-12.15598,0.0,0.0
-12.136251,0.0,0.0
-12.116659,0.0,0.0
-12.09693,0.0,0.0
-12.077338,0.0,0.0
-12.05761,0.0,0.0
-12.038017,0.0,0.0
-12.018289,0.0,0.0
-11.998697,0.0,0.0
-11.978968,0.0,0.0
-11.959376,0.0,0.0
-11.939647,0.0,0.0
-11.920055,0.0,0.0
-11.900327,0.0,0.0
-11.880734,0.0,0.0
-11.861006,0.0,0.0
-11.841277,0.0,0.0
-11.821685,0.0,0.0
-11.801957,0.0,0.0
-11.782364,0.0,0.0
-11.762636,0.0,0.0
-11.743044,0.0,0.0
-11.723315,0.0,0.0
-11.703723,0.0,0.0
-11.683994,0.0,0.0
-11.664402,0.0,0.0
-11.644674,0.0,0.0
-11.625081,0.0,0.0
-11.605353,0.0,0.0
-11.58576,0.0,0.0
-11.566032,0.0,0.0
-11.54644,0.0,0.0
-11.526711,0.0,0.0
-11.507119,0.0,0.0
-11.487391,0.0,0.0
-11.467662,0.0,0.0
-11.44807,0.0,0.0
-11.428341,0.0,0.0
-11.408749,0.0,0.0
-11.389021,0.0,0.0
-11.369428,0.0,0.0
-11.3497,0.0,0.0
-11.330107,0.0,0.0
-11.310379,0.0,0.0
-11.290787,0.0,0.0
-11.271058,0.0,0.0
-11.251466,0.0,0.0
-11.231738,0.0,0.0
-11.212145,0.0,0.0
-11.192417,0.0,0.0
-11.172824,0.0,0.0
-11.153096,0.0,0.0
-11.133504,0.0,0.0
-11.113775,0.0,0.0
-11.094183,0.0,0.0
-11.074455,0.0,0.0
-11.054726,0.0,0.0
-11.035134,0.0,0.0
-11.015405,0.0,0.0
-10.995813,0.0,0.0
-10.976085,0.0,0.0
-10.956492,0.0,0.0
-10.936764,0.0,0.0
-10.917171,0.0,0.0
-10.897443,0.0,0.0
-10.877851,0.0,0.0
-10.858122,0.0,0.0
-10.83853,0.0,0.0
-10.818802,0.0,0.0
-10.799209,0.0,0.0
-10.779481,0.0,0.0
-10.759888,0.005346,1.4e-05
-10.74016,0.017157,0.000258
-10.720568,0.02204,0.000652
-10.700839,0.027293,0.001141
-10.681111,0.030031,0.001706
-10.661518,0.034392,0.002337
-10.64179,0.04072,0.003058
-10.622198,0.041588,0.00392
-10.602469,0.042853,0.004716
-10.582877,0.042879,0.005556
-10.563149,0.039437,0.006329
-10.543556,0.06014,0.007534
-10.523828,0.055541,0.008539
